timeindex,pv-profile,wind-profile
2050-01-01T00:00:00Z,0,0.147532
2050-01-01T01:00:00Z,0,0.184181
2050-01-01T02:00:00Z,0,0.223937
2050-01-01T03:00:00Z,0,0.255732
2050-01-01T04:00:00Z,0,0.26844
2050-01-01T05:00:00Z,0,0.276708
2050-01-01T06:00:00Z,0,0.26844
2050-01-01T07:00:00Z,0,0.243378
2050-01-01T08:00:00Z,0.005,0.203473
2050-01-01T09:00:00Z,0.049,0.16961
2050-01-01T10:00:00Z,0.119,0.148345
2050-01-01T11:00:00Z,0.158,0.148345
2050-01-01T12:00:00Z,0.152,0.157479
2050-01-01T13:00:00Z,0.112,0.164341
2050-01-01T14:00:00Z,0.044,0.20248
2050-01-01T15:00:00Z,0,0.251199
2050-01-01T16:00:00Z,0,0.275518
2050-01-01T17:00:00Z,0,0.280294
2050-01-01T18:00:00Z,0,0.273147
2050-01-01T19:00:00Z,0,0.283905
2050-01-01T20:00:00Z,0,0.273147
2050-01-01T21:00:00Z,0,0.269612
2050-01-01T22:00:00Z,0,0.26844
2050-01-01T23:00:00Z,0,0.263778
2050-01-02T00:00:00Z,0,0.255732
2050-01-02T01:00:00Z,0,0.23788
2050-01-02T02:00:00Z,0,0.217673
2050-01-02T03:00:00Z,0,0.209488
2050-01-02T04:00:00Z,0,0.209488
2050-01-02T05:00:00Z,0,0.213557
2050-01-02T06:00:00Z,0,0.215609
2050-01-02T07:00:00Z,0,0.214582
2050-01-02T08:00:00Z,0.032,0.200504
2050-01-02T09:00:00Z,0.102,0.186057
2050-01-02T10:00:00Z,0.151,0.177712
2050-01-02T11:00:00Z,0.161,0.179545
2050-01-02T12:00:00Z,0.14,0.192716
2050-01-02T13:00:00Z,0.094,0.204468
2050-01-02T14:00:00Z,0.037,0.213557
2050-01-02T15:00:00Z,0,0.21664
2050-01-02T16:00:00Z,0,0.210501
2050-01-02T17:00:00Z,0,0.201491
2050-01-02T18:00:00Z,0,0.193679
2050-01-02T19:00:00Z,0,0.191756
2050-01-02T20:00:00Z,0,0.179545
2050-01-02T21:00:00Z,0,0.164341
2050-01-02T22:00:00Z,0,0.147532
2050-01-02T23:00:00Z,0,0.130368
2050-01-03T00:00:00Z,0,0.115247
2050-01-03T01:00:00Z,0,0.10069
2050-01-03T02:00:00Z,0,0.087359
2050-01-03T03:00:00Z,0,0.07683
2050-01-03T04:00:00Z,0,0.067652
2050-01-03T05:00:00Z,0,0.058319
2050-01-03T06:00:00Z,0,0.05106
2050-01-03T07:00:00Z,0,0.047852
2050-01-03T08:00:00Z,0.023,0.04746
2050-01-03T09:00:00Z,0.077,0.04707
2050-01-03T10:00:00Z,0.124,0.044025
2050-01-03T11:00:00Z,0.134,0.041823
2050-01-03T12:00:00Z,0.11,0.040392
2050-01-03T13:00:00Z,0.067,0.038302
2050-01-03T14:00:00Z,0.022,0.033363
2050-01-03T15:00:00Z,0,0.028527
2050-01-03T16:00:00Z,0,0.024364
2050-01-03T17:00:00Z,0,0.023051
2050-01-03T18:00:00Z,0,0.025441
2050-01-03T19:00:00Z,0,0.032113
2050-01-03T20:00:00Z,0,0.044774
2050-01-03T21:00:00Z,0,0.065236
2050-01-03T22:00:00Z,0,0.092665
2050-01-03T23:00:00Z,0,0.123737
2050-01-04T00:00:00Z,0,0.161746
2050-01-04T01:00:00Z,0,0.204468
2050-01-04T02:00:00Z,0,0.259163
2050-01-04T03:00:00Z,0,0.321316
2050-01-04T04:00:00Z,0,0.384075
2050-01-04T05:00:00Z,0,0.426069
2050-01-04T06:00:00Z,0,0.451691
2050-01-04T07:00:00Z,0,0.466005
2050-01-04T08:00:00Z,0.026,0.47891
2050-01-04T09:00:00Z,0.105,0.486082
2050-01-04T10:00:00Z,0.2,0.497557
2050-01-04T11:00:00Z,0.242,0.514738
2050-01-04T12:00:00Z,0.211,0.533249
2050-01-04T13:00:00Z,0.138,0.537498
2050-01-04T14:00:00Z,0.052,0.519022
2050-01-04T15:00:00Z,0.001,0.514738
2050-01-04T16:00:00Z,0,0.516167
2050-01-04T17:00:00Z,0,0.521874
2050-01-04T18:00:00Z,0,0.527569
2050-01-04T19:00:00Z,0,0.544558
2050-01-04T20:00:00Z,0,0.543148
2050-01-04T21:00:00Z,0,0.544558
2050-01-04T22:00:00Z,0,0.534666
2050-01-04T23:00:00Z,0,0.523299
2050-01-05T00:00:00Z,0,0.53183
2050-01-05T01:00:00Z,0,0.550186
2050-01-05T02:00:00Z,0,0.575256
2050-01-05T03:00:00Z,0,0.602505
2050-01-05T04:00:00Z,0,0.62243
2050-01-05T05:00:00Z,0,0.634151
2050-01-05T06:00:00Z,0,0.627662
2050-01-05T07:00:00Z,0,0.623742
2050-01-05T08:00:00Z,0.028,0.62243
2050-01-05T09:00:00Z,0.107,0.609198
2050-01-05T10:00:00Z,0.211,0.584875
2050-01-05T11:00:00Z,0.272,0.565559
2050-01-05T12:00:00Z,0.282,0.545967
2050-01-05T13:00:00Z,0.243,0.559987
2050-01-05T14:00:00Z,0.12,0.580763
2050-01-05T15:00:00Z,0.004,0.610531
2050-01-05T16:00:00Z,0,0.655754
2050-01-05T17:00:00Z,0,0.701257
2050-01-05T18:00:00Z,0,0.705818
2050-01-05T19:00:00Z,0,0.704682
2050-01-05T20:00:00Z,0,0.721434
2050-01-05T21:00:00Z,0,0.738575
2050-01-05T22:00:00Z,0,0.719237
2050-01-05T23:00:00Z,0,0.623742
